17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
7.55,6.87,61.8,,,,
7.13,7.45,60.5,,,,
7.16,7.32,44.7,,,,
7.19,7.14,60.6,,,,
8.02,7.15,72.5,,,,
7.03,6.72,28.7,,,,
7.54,7.05,70.5,,,,
8.59,6.43,75.4,,,,
5.83,5.97,62.3,,,,
6.85,6.69,69.0,,,,
6.39,6.82,68.4,,,,
6.9,7.49,67.6,,,,
8.4,7.58,69.7,,,,
83.8,7.69,,,,,
7.3,7.27,59.3,,,,
7.3,7.27,59.3,,,,
8.07,7.4,67.5,,,,
4.1,7.4,,0.04,28.0,,48.0
6.1,6.4,,0.14,30000.0,,5.0
7.0,7.1,,0.11,13000.0,,2.0
7.7,7.2,,0.02,400.0,,2.0
6.5,7.1,,0.03,700.0,,3.0
6.4,6.9,,0.07,500.0,,2.0
5.4,7.1,,0.08,35000.0,,11.0
6.8,6.8,,0.01,2300.0,,8.0
